tract,block_group,count,dump_count,lighting_count,Id,Id2,Estimate; Median age -- - Total:,Estimate; Median age -- - Male,Estimate; Median age -- - Female,Estimate; Total,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more",Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Estimate; Total: - With public assistance income,Estimate; Total: - No public assistance income,Estimate; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars),Estimate; Total: - Owner occupied,Estimate; Total: - Renter occupied,Estimate; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 or more",Estimate; No cash rent,Estimate; Median value (dollars)
2602,2,1,,1.0,1500000US060730026022,60730026022,25.7,26.3,25.4,1354,537,126,136,0,251,0,0,24,0,24,817,36,9,56,17,0,38,92,23,46,22,13,18,41,0,0,0,37786,17,394,13727,140,271,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,33,28,164,0,14,0,0,311300
2602,3,3,,,1500000US060730026023,60730026023,25.6,29.3,25.2,1568,437,77,178,0,182,0,0,0,0,0,1131,34,45,29,12,18,33,42,17,60,65,39,21,7,0,0,24,42273,0,446,15094,48,398,6,0,0,5,0,0,0,0,0,14,0,14,0,0,10,117,44,116,35,37,0,0,305900
2702,1,6,,,1500000US060730027021,60730027021,28.9,28.8,29.7,1217,994,559,280,0,144,0,0,11,0,11,223,0,27,33,18,8,45,73,9,19,41,62,100,28,42,0,0,57950,5,500,27775,223,282,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,20,0,72,126,11,35,0,250400
2702,2,4,,,1500000US060730027022,60730027022,25.1,24.8,25.3,1339,1049,500,209,0,295,0,0,45,0,45,290,20,23,12,9,33,10,17,0,0,53,88,39,30,26,15,38,62379,18,395,25361,144,269,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,113,11,121,0,10,313400
2702,3,2,,3.0,1500000US060730027023,60730027023,28.3,26.8,30.8,2568,1816,771,589,24,324,35,0,73,0,73,752,19,75,89,49,66,13,34,52,124,70,22,55,49,0,0,77,45000,43,751,22568,247,547,9,0,0,0,0,0,0,0,0,0,0,0,32,0,70,78,55,166,85,7,45,0,293800
2703,2,1,,,1500000US060730027032,60730027032,28.0,26.5,33.6,1491,1025,538,101,0,363,0,0,23,0,23,466,15,19,0,15,11,42,10,12,8,37,52,91,15,84,0,0,70655,0,411,22000,210,201,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,60,47,15,37,23,0,0,253600
2703,4,6,,2.0,1500000US060730027034,60730027034,32.1,30.3,41.4,1606,1342,375,338,0,590,0,0,39,0,39,264,13,0,71,94,0,76,38,15,86,29,47,10,20,41,0,0,36053,31,509,18057,270,270,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,58,63,68,9,59,0,285500
2705,1,6,,1.0,1500000US060730027051,60730027051,33.2,27.9,35.9,2288,1576,268,637,0,650,0,0,21,0,21,712,19,0,48,12,22,111,72,10,23,72,46,79,75,12,0,0,48207,44,557,16404,431,170,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,18,61,49,0,0,265100
2705,2,3,,,1500000US060730027052,60730027052,38.3,38.7,34.9,2490,1624,234,252,0,1069,16,0,53,0,53,866,14,37,102,55,33,19,49,29,5,57,73,98,45,57,13,6,50313,22,670,22431,423,269,0,0,0,21,0,0,0,11,0,0,0,12,10,30,0,5,0,56,26,64,34,0,278300
2707,2,1,,,1500000US060730027072,60730027072,27.3,20.8,28.2,1153,666,58,279,0,267,17,0,45,0,45,487,52,28,33,41,32,43,0,39,13,17,31,9,0,0,0,0,27976,36,302,9784,13,325,0,0,0,0,0,0,0,0,0,7,0,0,7,28,20,87,28,75,29,27,17,0,-
2707,3,1,,,1500000US060730027073,60730027073,24.8,20.4,28.6,1091,376,9,102,0,231,0,0,34,0,34,715,46,30,63,17,11,28,0,13,29,30,12,0,0,0,0,0,22574,57,222,8021,32,247,0,0,0,11,0,0,0,0,0,14,0,9,12,32,30,21,21,54,0,32,0,11,231800
2708,2,3,,6.0,1500000US060730027082,60730027082,38.9,43.4,34.8,531,99,9,7,0,56,0,0,27,0,27,432,17,9,25,34,24,0,28,24,0,7,0,0,0,10,0,0,25667,0,178,11486,38,140,0,0,0,39,0,9,0,0,0,0,0,8,0,0,0,43,17,15,0,9,0,0,280000
2708,4,3,,,1500000US060730027084,60730027084,21.0,16.7,21.7,2321,1235,0,685,0,521,0,0,29,0,29,1086,41,84,114,22,15,49,72,43,25,18,65,8,0,0,0,0,30161,60,496,8160,8,548,0,0,0,11,0,0,0,0,0,0,15,0,7,71,104,92,132,108,0,0,0,8,-
2709,1,2,,,1500000US060730027091,60730027091,28.3,25.5,30.1,1967,745,146,421,0,178,0,0,0,0,0,1222,109,101,22,52,19,37,28,67,0,42,32,15,8,33,0,0,24866,82,483,10995,21,544,0,0,0,0,0,0,0,5,0,0,0,0,32,79,84,86,69,90,22,45,17,15,237500
2709,2,1,,3.0,1500000US060730027092,60730027092,32.4,29.7,32.8,1482,762,240,120,0,283,0,0,119,0,119,720,83,54,20,20,50,63,17,28,14,0,29,63,23,16,7,0,31964,67,420,15226,177,310,0,0,0,0,0,0,20,0,0,0,0,0,7,48,23,81,43,42,27,19,0,0,221600
2710,2,7,,1.0,1500000US060730027102,60730027102,26.2,26.4,25.9,2983,1802,211,758,0,756,0,0,77,0,77,1181,69,38,39,70,56,37,40,90,15,44,69,62,52,28,12,35,41021,107,649,16684,175,581,0,0,0,0,0,6,9,28,0,0,9,18,9,64,71,99,144,49,22,18,35,0,287900
2711,1,1,,,1500000US060730027111,60730027111,22.3,22.5,21.9,1941,1448,465,582,0,183,41,0,177,0,177,493,21,0,4,55,51,60,37,30,3,86,84,60,35,0,0,0,50172,7,519,14213,105,421,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,25,0,335,58,0,275400
2711,2,2,,,1500000US060730027112,60730027112,37.5,28.1,40.8,1619,1140,299,91,0,735,0,0,15,0,15,479,15,26,19,5,48,15,9,37,18,19,27,81,19,17,0,26,49063,19,362,17937,218,163,0,0,0,14,0,0,0,0,0,0,0,41,0,0,0,0,0,13,69,21,0,5,305200
2712,3,2,,,1500000US060730027123,60730027123,26.8,18.9,28.8,1892,802,139,574,0,62,0,0,27,0,27,1090,81,12,122,68,66,92,6,11,48,61,64,46,29,10,0,0,31250,91,625,15013,146,570,0,0,0,25,0,0,0,10,0,56,0,6,17,0,48,255,48,85,11,0,0,9,157500
2801,1,4,,,1500000US060730028011,60730028011,32.6,38.1,30.5,1617,1315,1017,55,14,224,0,0,5,0,5,302,93,20,12,49,31,10,11,20,14,70,0,49,61,40,41,133,58929,5,649,50736,339,315,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,43,106,64,39,47,6,598300
2801,2,6,,,1500000US060730028012,60730028012,19.9,19.9,19.9,1187,988,726,49,0,121,25,0,67,0,67,199,116,13,0,14,36,0,0,0,0,0,0,0,0,0,0,0,6808,0,179,3001,0,179,0,0,0,0,0,0,0,0,0,0,5,23,10,12,0,0,14,16,36,13,50,0,-
2803,4,2,,1.0,1500000US060730028034,60730028034,32.1,32.2,29.0,1480,1317,1038,28,0,89,0,0,162,0,162,163,28,33,62,51,14,0,38,15,18,67,57,116,21,34,23,63,59615,6,634,35711,331,309,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,21,52,105,88,20,6,365000
2804,1,1,,,1500000US060730028041,60730028041,20.6,22.5,20.3,1990,1702,1457,66,0,130,0,11,38,0,38,288,86,42,23,0,8,49,4,17,15,8,95,12,9,9,0,0,32379,0,377,9208,184,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,21,7,23,50,66,0,463600
2804,2,11,1.0,,1500000US060730028042,60730028042,40.1,39.0,42.0,1909,1654,1320,19,0,219,0,0,96,0,96,255,6,0,3,18,30,11,0,40,35,38,95,101,58,74,63,50,82000,13,609,35507,500,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,15,76,5,10,481300
2804,3,3,,,1500000US060730028043,60730028043,37.5,37.9,34.8,954,543,402,74,0,67,0,0,0,0,0,411,38,18,36,32,8,36,0,22,0,15,0,29,11,52,18,22,40125,8,329,26823,149,188,0,0,0,0,0,0,0,8,0,11,8,0,9,20,16,12,7,8,58,8,23,0,462300
2902,1,10,,2.0,1500000US060730029021,60730029021,34.3,29.1,38.2,2670,2367,1984,144,7,104,75,0,53,0,53,303,89,72,67,31,60,70,33,68,47,10,157,91,123,34,66,23,47118,65,976,25763,509,532,0,0,0,25,0,12,0,0,0,0,0,0,11,15,16,14,35,113,56,124,73,38,372500
2902,2,6,,2.0,1500000US060730029022,60730029022,28.8,30.3,28.5,3643,1862,1022,361,16,369,0,0,94,0,94,1781,102,69,114,96,35,100,69,96,12,81,70,250,80,65,51,0,41744,36,1254,20901,391,899,0,0,13,0,0,0,0,0,0,54,0,32,0,11,106,39,136,252,91,95,47,23,399100
2903,1,12,,,1500000US060730029031,60730029031,33.6,31.2,38.3,1641,980,506,217,0,221,0,0,36,0,36,661,39,49,16,26,39,15,50,0,0,24,49,79,64,15,20,8,57604,45,448,20778,231,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,58,35,53,26,61,0,21,305100
2903,2,8,,,1500000US060730029032,60730029032,36.9,36.6,37.6,1059,686,449,58,0,162,0,0,17,0,17,373,12,8,7,0,0,0,0,17,8,39,75,81,61,39,0,6,75750,0,353,28220,260,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,12,0,0,57,0,9,338000
2903,3,5,,,1500000US060730029033,60730029033,32.3,31.8,36.2,1536,987,570,227,29,153,0,0,8,0,8,549,28,72,8,9,6,9,57,17,73,53,14,31,91,39,8,0,48750,7,508,22115,349,166,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,11,134,0,5,269800
2904,1,3,,1.0,1500000US060730029041,60730029041,23.6,28.9,22.3,2637,2255,1732,78,0,357,0,0,88,0,88,382,81,79,27,137,23,13,103,0,0,67,64,106,68,28,9,20,36396,0,825,19100,336,489,0,0,0,0,0,0,0,0,0,0,0,0,62,0,44,32,19,119,91,49,65,8,394400
2904,2,6,,2.0,1500000US060730029042,60730029042,19.5,20.0,19.0,3387,2598,2043,57,0,263,0,0,235,11,224,789,46,12,53,35,15,64,28,0,0,35,14,31,0,0,0,8,30371,0,341,5389,55,286,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,56,35,47,0,87,47,0,375000
2904,4,1,,,1500000US060730029044,60730029044,23.2,20.5,47.4,983,856,629,0,16,53,0,0,158,0,158,127,57,32,0,45,11,0,30,13,0,15,48,14,0,7,29,8,38292,22,287,20180,64,245,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,29,44,15,43,59,39,0,424200
2905,1,1,,1.0,1500000US060730029051,60730029051,32.5,33.6,28.7,1255,1009,315,394,42,258,0,0,0,0,0,246,20,57,9,15,71,18,9,27,11,36,76,42,14,34,0,0,41898,11,428,18476,85,354,0,0,0,37,0,0,0,0,0,0,0,30,27,8,9,33,26,46,87,23,28,0,348900
2905,3,2,,,1500000US060730029053,60730029053,25.5,22.2,32.0,2053,1410,774,513,9,35,0,20,59,0,59,643,36,9,0,22,42,56,10,0,45,49,53,75,48,33,18,34,59655,91,439,21075,292,238,0,0,0,0,0,0,9,0,0,0,0,47,0,0,0,10,10,29,67,60,2,4,350300
3001,1,1,,,1500000US060730030011,60730030011,44.1,29.1,44.4,750,498,85,317,0,87,0,9,0,0,0,252,10,22,25,15,6,8,6,9,37,28,22,21,32,8,18,7,49932,6,268,25373,230,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,21,8,0,0,311500
3001,2,2,,1.0,1500000US060730030012,60730030012,29.1,31.7,26.5,1889,540,21,452,0,39,0,0,28,0,28,1349,31,42,36,51,62,34,0,19,8,9,66,67,63,12,7,8,40625,24,491,16014,311,204,0,0,0,24,0,0,0,0,0,70,0,0,0,0,0,21,31,21,12,0,0,25,249700
3001,3,1,,,1500000US060730030013,60730030013,35.4,28.2,41.8,1396,599,141,450,0,8,0,0,0,0,0,797,17,16,33,20,21,7,17,35,51,24,16,76,23,0,32,0,48663,17,371,18108,285,103,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,9,7,25,24,0,0,24,274800
3003,1,2,,3.0,1500000US060730030031,60730030031,32.5,36.7,27.8,2154,1374,334,709,1,201,0,0,129,0,129,780,12,10,11,12,16,0,31,26,16,53,67,71,147,52,26,11,88594,15,546,24313,384,177,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,27,0,20,12,98,0,318200
3103,1,5,,,1500000US060730031031,60730031031,32.3,30.8,35.5,2250,1610,288,898,0,208,0,0,216,0,216,640,30,0,13,22,24,31,8,26,53,6,94,90,98,25,7,20,71875,24,523,21316,446,101,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0,6,0,71,0,7,257100
3105,1,1,,1.0,1500000US060730031051,60730031051,37.2,28.9,39.3,2778,725,295,231,0,185,0,0,14,0,14,2053,22,9,17,66,0,86,23,47,7,75,97,108,28,64,0,0,58438,21,628,17346,460,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,49,0,112,0,0,273700
3105,2,1,,1.0,1500000US060730031052,60730031052,30.0,27.0,32.5,1661,711,32,595,20,38,0,0,26,0,26,950,20,0,0,78,8,8,0,0,27,39,32,88,31,63,0,0,63250,8,386,17312,331,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,22,0,24,0,0,256000
3107,1,3,,1.0,1500000US060730031071,60730031071,41.1,41.2,40.8,3100,2007,382,494,0,1078,13,0,40,0,40,1093,0,7,0,13,24,26,12,38,82,100,108,220,78,44,43,15,74038,13,797,24267,681,129,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,37,61,0,26,261100
3109,1,1,,,1500000US060730031091,60730031091,34.3,34.6,33.8,972,945,73,0,0,872,0,0,0,0,0,27,0,0,13,0,7,18,0,0,10,1,46,56,39,7,28,24,92031,0,249,28263,148,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,10,47,20,0,314100
3109,2,1,,,1500000US060730031092,60730031092,30.7,25.7,37.2,1499,1320,43,241,0,903,60,0,73,19,54,179,6,0,0,48,2,0,32,8,11,0,14,35,65,37,16,12,90938,31,255,20401,220,66,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,9,0,8,19,6,2,317400
3109,3,1,,,1500000US060730031093,60730031093,51.7,49.2,55.3,976,884,89,5,0,765,0,0,25,0,25,92,0,0,0,0,9,7,27,7,5,8,25,83,50,3,28,14,93125,10,256,29126,260,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,298900
3113,1,2,,3.0,1500000US060730031131,60730031131,41.1,40.8,44.7,2552,2232,161,446,0,1491,34,0,100,0,100,320,11,27,32,20,72,7,37,20,29,61,40,138,119,43,17,0,66953,0,673,20333,570,103,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,65,0,0,276500
3114,2,2,,,1500000US060730031142,60730031142,36.6,31.6,40.5,2296,1957,153,411,0,1253,11,0,129,0,129,339,3,56,4,0,4,25,0,9,17,10,77,96,78,46,53,23,81373,14,487,22278,390,111,0,0,0,20,0,0,0,0,0,0,5,0,0,0,0,12,0,0,0,51,10,13,317900
3115,2,1,,1.0,1500000US060730031152,60730031152,36.3,31.2,42.2,1427,820,159,93,0,473,55,0,40,0,40,607,0,19,0,8,27,39,40,18,31,15,21,67,15,15,0,8,47188,10,313,16945,284,39,0,0,0,0,0,0,0,0,0,23,0,16,0,0,0,0,0,0,0,0,0,0,283500
3115,4,3,,,1500000US060730031154,60730031154,37.5,34.7,39.5,1974,1630,127,131,0,1344,0,0,28,7,21,344,10,0,0,8,21,7,38,30,21,73,27,98,75,56,8,30,84423,16,486,24042,441,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,10,21,5,0,296100
3202,1,1,,,1500000US060730032021,60730032021,29.4,26.0,31.8,2440,598,215,56,0,315,0,0,12,0,12,1842,5,79,0,12,7,19,39,34,42,27,178,89,73,0,9,0,67656,43,570,16622,363,250,0,0,0,14,0,0,0,0,0,0,0,9,0,14,3,10,54,102,11,27,6,0,258900
3202,2,3,,1.0,1500000US060730032022,60730032022,34.4,23.5,38.9,2649,798,553,117,0,74,0,0,54,0,54,1851,26,11,39,52,117,98,8,50,77,62,22,62,36,55,37,8,43190,53,707,17609,614,146,0,0,0,0,12,0,0,0,0,0,0,15,0,10,0,0,0,42,26,33,0,8,290100
3208,1,2,,,1500000US060730032081,60730032081,32.4,32.2,32.6,1469,759,13,216,0,442,0,0,88,0,88,710,52,45,33,67,48,82,0,32,30,70,11,61,11,0,0,0,33293,0,542,14657,0,542,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,75,66,366,24,0,0,0,-
3208,2,2,,2.0,1500000US060730032082,60730032082,25.8,25.3,34.1,881,481,32,49,0,400,0,0,0,0,0,400,11,0,0,0,0,0,0,11,26,0,23,85,11,0,0,19,75733,0,186,19782,29,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,11,47,0,13,11,0,-
3208,3,1,,,1500000US060730032083,60730032083,41.0,32.5,44.1,1264,948,135,141,0,563,0,0,109,0,109,316,0,0,56,19,14,41,12,8,0,66,19,118,58,0,0,0,59205,0,411,21692,364,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,156700
3208,4,2,,,1500000US060730032084,60730032084,39.5,26.7,45.2,648,589,5,223,0,361,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,39,15,25,65,0,26,0,115231,0,170,27681,109,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,304400
3209,1,4,,,1500000US060730032091,60730032091,28.6,30.1,28.6,3154,2311,196,540,0,1477,0,0,98,0,98,843,27,68,77,66,15,67,22,40,36,97,85,205,66,59,14,21,53036,36,929,20572,107,858,0,0,0,0,0,0,0,27,0,0,0,0,0,0,30,158,223,248,90,82,0,0,306100
3209,2,5,,,1500000US060730032092,60730032092,30.2,23.4,32.9,1583,859,110,377,0,353,0,0,19,0,19,724,6,18,13,43,0,28,34,51,48,44,0,61,50,19,38,0,46994,42,411,20800,316,137,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,30,28,61,0,10,165800
3209,3,5,,,1500000US060730032093,60730032093,32.0,42.0,31.2,922,749,105,244,0,345,0,0,55,0,55,173,14,0,6,0,0,7,12,18,60,19,43,54,6,0,22,8,59659,0,269,21205,220,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38,0,0,187500
3211,1,1,,,1500000US060730032111,60730032111,41.2,40.5,41.4,1941,828,419,14,0,393,0,0,2,0,2,1113,11,27,50,3,29,16,48,32,16,58,83,86,64,22,26,12,60417,9,574,22790,527,56,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,14,12,14,0,6,295000
3211,2,2,,,1500000US060730032112,60730032112,33.2,35.0,31.4,1363,675,136,114,0,386,0,0,39,0,39,688,8,0,3,22,9,15,8,8,12,7,47,55,27,30,22,0,74479,12,261,18651,171,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,7,34,14,11,322500
3212,1,3,,,1500000US060730032121,60730032121,47.5,41.7,52.8,1720,1376,407,120,1,848,0,0,0,0,0,344,11,10,10,0,4,60,12,0,0,8,19,99,20,18,36,51,85595,0,358,22923,295,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,35,326100
3212,2,6,,2.0,1500000US060730032122,60730032122,39.3,40.2,38.2,2626,1395,764,33,0,369,126,0,103,0,103,1231,12,0,72,28,7,40,20,40,9,23,82,222,83,19,44,0,75754,23,678,21247,533,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,76,0,0,317100
3213,1,2,,,1500000US060730032131,60730032131,29.9,26.7,33.3,1891,1468,115,317,0,887,0,0,149,0,149,423,20,0,3,20,34,4,29,0,0,36,81,155,27,46,28,0,78438,20,463,21764,412,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,33,0,331400
3213,2,9,,,1500000US060730032132,60730032132,45.1,38.2,48.5,2061,1571,142,201,26,1187,0,0,15,0,15,490,0,33,0,0,16,0,14,16,43,25,22,82,136,32,67,31,102083,0,517,31330,445,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,332100
3301,1,2,,,1500000US060730033011,60730033011,35.3,31.7,36.1,1464,433,11,335,0,45,0,0,42,0,42,1031,37,37,45,91,5,11,37,10,21,28,32,20,21,9,0,0,24608,49,355,12039,168,236,0,0,0,0,5,5,0,0,0,4,19,0,12,10,7,11,60,75,9,0,0,19,242500
3301,2,4,,,1500000US060730033012,60730033012,26.9,26.6,28.8,1801,853,45,680,0,105,0,0,23,0,23,948,41,59,71,79,37,33,20,28,24,35,27,20,36,5,15,0,26563,54,476,13267,129,401,0,0,0,26,0,0,0,13,9,22,6,0,0,0,12,48,60,140,47,0,0,18,226900
3304,2,4,,,1500000US060730033042,60730033042,22.9,19.8,23.8,2483,709,275,276,0,146,5,0,7,0,7,1774,106,74,56,20,117,51,73,84,0,42,37,0,7,0,0,0,27591,42,625,8540,189,478,0,0,0,0,0,0,31,2,0,9,0,55,18,82,18,71,42,131,6,0,0,13,21400
3305,3,3,,4.0,1500000US060730033053,60730033053,31.7,39.3,31.0,2693,1269,68,767,0,378,0,0,56,0,56,1424,88,133,93,58,28,52,16,9,15,10,47,33,34,62,7,26,21789,112,599,14451,353,358,9,35,15,6,32,17,20,0,0,19,11,0,0,21,37,73,20,0,0,35,0,8,239600
3401,1,2,,,1500000US060730034011,60730034011,35.2,41.2,34.4,1752,1045,212,468,0,299,16,0,50,0,50,707,16,0,25,9,30,83,55,7,0,67,79,20,99,35,17,0,56429,29,513,21578,358,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,40,93,0,0,16,270400
3401,2,5,,1.0,1500000US060730034012,60730034012,24.9,24.9,25.5,931,849,262,228,0,241,0,0,118,0,118,82,62,12,63,20,0,15,0,38,85,35,31,8,19,9,0,16,44770,0,413,21356,104,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,78,182,0,0,14,0,325000
3401,3,2,,,1500000US060730034013,60730034013,37.4,27.5,54.3,1001,770,300,396,3,48,0,0,23,0,23,231,38,0,0,0,0,0,0,0,16,8,29,101,11,48,0,0,76597,0,251,22119,174,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,8,0,0,275000
3401,4,4,,,1500000US060730034014,60730034014,44.0,28.0,54.3,2649,1745,596,722,0,385,1,0,41,0,41,904,43,134,48,47,8,22,24,19,56,100,189,87,37,6,68,0,52287,80,808,22181,648,240,0,0,0,21,43,0,0,53,0,0,0,0,0,16,0,0,21,16,0,38,32,0,216100
3403,1,3,,,1500000US060730034031,60730034031,30.0,33.5,27.6,1243,398,120,210,0,41,0,0,27,0,27,845,10,17,68,26,31,44,40,0,0,14,63,15,39,0,0,0,34155,3,364,13777,126,241,0,0,0,0,0,21,0,31,0,0,0,0,3,39,22,62,6,8,0,37,0,12,257800
3403,2,3,,,1500000US060730034032,60730034032,34.9,31.0,35.6,1556,393,78,148,0,167,0,0,0,0,0,1163,31,0,33,40,18,9,8,54,25,69,43,38,33,10,0,0,46250,23,388,15085,170,241,12,7,0,0,0,0,0,10,0,0,0,0,12,25,9,51,8,48,45,6,8,0,290800
3403,3,1,,,1500000US060730034033,60730034033,27.0,20.6,28.6,1359,357,0,180,0,148,0,0,29,0,29,1002,0,4,82,17,29,22,10,10,0,0,9,68,30,22,0,8,37875,14,297,15262,122,189,0,0,0,0,0,0,0,0,0,8,10,0,0,8,32,14,42,47,28,0,0,0,225400
3404,1,3,,,1500000US060730034041,60730034041,28.3,28.5,27.7,1688,302,37,73,9,140,0,7,36,8,28,1386,10,17,44,21,40,23,20,0,34,54,34,34,14,10,0,0,45625,26,329,11443,180,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,47,72,14,0,0,0,262500
3404,2,2,,,1500000US060730034042,60730034042,24.5,24.5,24.5,3363,717,158,408,0,120,31,0,0,0,0,2646,107,46,88,8,10,20,138,62,21,94,53,24,48,17,9,13,38241,48,710,14453,333,425,0,7,0,0,0,11,9,0,0,0,0,0,0,9,32,46,45,148,95,13,10,0,242200
3501,1,7,,,1500000US060730035011,60730035011,28.0,30.5,25.4,1980,140,19,121,0,0,0,0,0,0,0,1840,97,8,26,18,49,25,25,39,26,13,47,0,31,27,0,0,34250,56,375,10587,189,242,0,0,0,30,0,0,0,0,0,24,6,0,0,7,0,13,45,86,18,0,0,13,231100
3501,2,3,,,1500000US060730035012,60730035012,24.2,24.3,23.0,1258,231,74,157,0,0,0,0,0,0,0,1027,58,26,36,28,10,12,39,33,40,29,18,18,9,0,0,0,35870,17,339,11120,62,294,0,0,0,0,0,0,0,0,0,0,7,17,24,8,0,38,45,57,65,33,0,0,233300
3502,1,8,,,1500000US060730035021,60730035021,28.2,30.6,25.5,717,204,12,192,0,0,0,0,0,0,0,513,44,61,42,0,18,0,0,19,11,0,27,0,0,6,0,10,17941,0,238,12058,43,195,0,0,24,34,27,0,0,10,0,0,0,0,0,0,29,0,0,25,19,0,0,27,360500
3502,2,6,,,1500000US060730035022,60730035022,25.2,24.6,25.8,2209,398,73,201,0,76,0,0,48,0,48,1811,104,47,24,63,9,58,0,12,20,77,27,51,25,11,0,0,31518,46,482,11061,180,348,14,0,0,0,0,0,0,18,0,0,15,0,19,0,7,85,0,91,29,38,0,32,234400
