tract,blockgroup,count,graffiti_count,dump_count,lighting_count,sl_count,landarea,cent_lat,cent_lon,sl_density,gsl_meandist,dsl_meandist,Estimate; Total,rep_per_cap,graffiti_per,dump_per,lighting_per
18300.0,4.0,0.0,,,,,,,,,,,604,0.0,,,
18603.0,3.0,0.0,,,,,,,,,,,1430,0.0,,,
18613.0,1.0,0.0,,,,,,,,,,,2904,0.0,,,
18803.0,3.0,0.0,,,,,,,,,,,3207,0.0,,,
19806.0,3.0,0.0,,,,,,,,,,,4551,0.0,,,
19809.0,2.0,0.0,,,,,,,,,,,1580,0.0,,,
20023.0,2.0,0.0,,,,,,,,,,,1877,0.0,,,
20028.0,2.0,0.0,,,,,,,,,,,2027,0.0,,,
18100.0,6.0,0.0,,,,,,,,,,,772,0.0,,,
18200.0,3.0,0.0,,,,,,,,,,,1029,0.0,,,
18200.0,4.0,0.0,,,,,,,,,,,2007,0.0,,,
19808.0,1.0,0.0,,,,,,,,,,,903,0.0,,,
19808.0,2.0,0.0,,,,,,,,,,,1972,0.0,,,
19808.0,3.0,0.0,,,,,,,,,,,1629,0.0,,,
19809.0,3.0,0.0,,,,,,,,,,,1192,0.0,,,
21400.0,2.0,37.0,0.0,3.0,0.0,51.0,387920.0,32.7300893,-117.2281795,0.000131470406269,,50.6673099238,1652,0.022397094431,0.0,0.0810810810811,0.0
21500.0,2.0,12.0,1.0,0.0,4.0,148.0,1406709.0,32.952985,-117.2061648,0.000105210103867,34.2236128493,,2927,0.00409976084728,0.0833333333333,0.0,0.333333333333
21500.0,3.0,5.0,0.0,0.0,3.0,53.0,438376.0,32.9560555,-117.2094635,0.00012090077924,,,908,0.00550660792952,0.0,0.0,0.6
21600.0,1.0,0.0,,,,,,,,,,,2728,0.0,,,
19601.0,3.0,0.0,,,,,,,,,,,2095,0.0,,,
17200.0,4.0,0.0,,,,,,,,,,,1317,0.0,,,
17019.0,1.0,11.0,0.0,0.0,2.0,98.0,937356.0,33.0242346,-117.0557799,0.00010454939212,,,1672,0.00657894736842,0.0,0.0,0.181818181818
16701.0,2.0,0.0,,,,,,,,,,,2010,0.0,,,
